num_classes,num_instances,dataset_type,class_imbalance_ratio,actual_predictions_entropy,Confidence_Mean,Confidence_Median,Confidence_Std,Confidence_Var,Confidence_Entropy,Confidence_Skewness,Confidence_Kurtosis,Confidence_Min,Confidence_Max,Classification_Log_loss,Classification_Accuracy,Classification_Precision_Micro,Classification_Precision_Macro,Classification_Precision_Weighted,Classification_Recall_Micro,Classification_Recall_Macro,Classification_Recall_Weighted,Classification_F1_Micro,Classification_F1_Macro,Classification_F1_Weighted,ECE_before,MCE_before,ConfECE_before,brier_score_before,Wasserstein_Mean,Wasserstein_Median,Wasserstein_Std,Wasserstein_Var,Wasserstein_Entropy,Wasserstein_Skewness,Wasserstein_Kurtosis,Wasserstein_Min,Wasserstein_Max,KL_Divergence_Mean,KL_Divergence_Median,KL_Divergence_Std,KL_Divergence_Var,KL_Divergence_Entropy,KL_Divergence_Skewness,KL_Divergence_Kurtosis,KL_Divergence_Min,KL_Divergence_Max,Jensen_Shannon_Mean,Jensen_Shannon_Median,Jensen_Shannon_Std,Jensen_Shannon_Var,Jensen_Shannon_Entropy,Jensen_Shannon_Skewness,Jensen_Shannon_Kurtosis,Jensen_Shannon_Min,Jensen_Shannon_Max,Bhattacharyya_Mean,Bhattacharyya_Median,Bhattacharyya_Std,Bhattacharyya_Var,Bhattacharyya_Entropy,Bhattacharyya_Skewness,Bhattacharyya_Kurtosis,Bhattacharyya_Min,Bhattacharyya_Max,Best_Cal
4,25520,multi-class,1,1.99996,0.1046,0.02038,0.21771,0.0474,12.86683,2.83318,7.18029,0.00078,1,0.22966,0.93127,0.93127,0.93124,0.93124,0.93127,0.93127,0.93127,0.93127,0.93124,0.93124,0.00618,0.1159,0.00618,0.10757,0.01239,0.01159,0.00678,5.00E-05,2.34163,-0.03509,-1.39098,0.00226,0.02101,0.10142,0.09371,0.04203,0.00177,2.46646,0.85255,0.09736,0.04444,0.18438,0.1534,0.1601,0.02371,0.00056,2.5668,-0.82729,-0.58743,0.10859,0.1766,0.02909,0.02976,0.00973,9.00E-05,2.49618,-0.45289,-1.07036,0.01236,0.04022,HISTOGRM
11,259,multi-class,13,0,0.87687,0.88718,0.05882,0.00346,8.01355,-0.18878,-1.60589,0.80101,0.98187,2.22625,0.20077,0.20077,0.01825,0.04031,0.20077,0.09091,0.20077,0.20077,0.0304,0.06714,0.00199,0.00199,0,0.8764,0.02874,0.02703,0.01252,0.00016,5.64073,0.31519,-0.81303,0.00618,0.05483,0.56127,0.4555,0.34036,0.11585,5.52248,0.91208,0.32675,0.03972,1.45913,0.34142,0.33386,0.09835,0.00967,5.71769,-0.1283,-0.04689,0.09909,0.56122,0.15016,0.12574,0.09114,0.00831,5.52351,1.02794,1.01765,0.00991,0.44413,DIRICHLET
11,259,multi-class,13,0,0.87713,0.88417,0.05766,0.00332,8.01368,-0.15716,-1.58316,0.80309,0.98456,2.22637,0.20077,0.20077,0.01825,0.04031,0.20077,0.09091,0.20077,0.20077,0.0304,0.06714,0.00386,0.00386,0,0.87646,0,0,0,0,0,-999,-999,0,0,7.53573,0,10.80414,116.72938,4.16993,0.73624,-1.45796,0,23.02585,0.27247,0,0.39065,0.15261,4.16993,0.73624,-1.45796,0,0.83255,7.53573,0,10.80414,116.72938,4.16993,0.73624,-1.45796,0,23.02585,MIXANDMATCH
11,259,multi-class,13,2.7011,0.76937,0.84361,0.20105,0.04042,7.96103,-0.96262,-0.14065,0.27115,1,2.92438,0.37452,0.37452,0.27515,0.34632,0.37452,0.25436,0.37452,0.37452,0.24308,0.3407,0.0877,0.29709,0.08838,0.76735,0.04013,0.03475,0.01678,0.00028,5.65343,0.33007,-0.90816,0.01313,0.07722,0.49054,0.43783,0.33942,0.1152,5.45329,0.99678,0.36419,0.07617,1.39546,0.24158,0.22947,0.07275,0.00529,5.71791,0.63261,-0.39461,0.13518,0.41861,0.07258,0.05962,0.04813,0.00232,5.50481,1.44397,1.80072,0.01863,0.22661,HISTOGRM
11,259,multi-class,13,1.97658,0.90845,0.91182,0.00932,9.00E-05,8.01673,-2.46668,4.12937,0.88182,0.91182,2.39531,0.11197,0.11197,0.17823,0.25753,0.11197,0.17354,0.11197,0.11197,0.11006,0.13518,0.00587,0.00587,0,0.9086,0.01796,0.00695,0.02475,0.00061,4.75188,1.59489,0.70752,0.00077,0.07568,0.31183,0.10093,0.46507,0.21629,4.66061,2.01354,2.98312,0.00664,2.01743,0.16076,0.0946,0.15132,0.0229,5.28712,1.57768,0.71293,0.04524,0.52577,0.06372,0.01159,0.11505,0.01324,4.16536,1.87697,1.95045,0.00265,0.4125,TEMPERATURESCALING
11,259,multi-class,13,3.02724,0.7144,0.85659,0.2886,0.08329,7.85711,-1.19894,0.01337,0.04686,0.98602,1.7633,0.41313,0.41313,0.39369,0.42535,0.41313,0.38225,0.41313,0.41313,0.37746,0.40975,0.04322,0.2199,0.04431,0.71681,0.03301,0.02703,0.02247,0.0005,5.45571,0.85254,0.26664,0.00386,0.10347,0.43831,0.20232,0.79676,0.63483,4.60385,3.91775,15.88107,0.01754,4.68843,0.18578,0.16794,0.08628,0.00744,5.63431,0.94099,0.79752,0.071,0.47567,0.04999,0.03202,0.0536,0.00287,5.17381,2.6916,9.2681,0.00626,0.3102,TEMPERATURESCALING
11,259,multi-class,13,0,0.87699,0.88435,0.05776,0.00334,8.01367,-0.15882,-1.58265,0.80252,0.98455,2.22531,0.20077,0.20077,0.01825,0.04031,0.20077,0.09091,0.20077,0.20077,0.0304,0.06714,0.00384,0.00384,0,0.8762,0.01153,0.00927,0.00861,7.00E-05,5.42894,1.31446,0.78452,0.00232,0.03784,2.80285,3.2159,3.278,10.74528,4.9502,2.50305,8.22512,0.00291,16.4768,0.4742,0.71326,0.29785,0.08872,5.44357,-0.28565,-1.86533,0.02709,0.76081,0.61911,0.91876,0.52791,0.27869,5.06812,-0.18858,-1.87647,0.00074,1.26302,PLATT
11,259,multi-class,13,2.95999,0.70728,0.80556,0.27278,0.07441,7.87157,-1.22571,0.34805,0.04013,1,2.55193,0.40927,0.40927,0.39176,0.40633,0.40927,0.35238,0.40927,0.40927,0.35523,0.40007,0.03699,0.15125,0.03886,0.70771,0.03732,0.03398,0.01796,0.00032,5.61765,0.71292,-0.15545,0.00695,0.08494,0.63439,0.28785,0.89836,0.80705,4.83908,2.66441,7.2744,0.05015,4.64461,0.22171,0.21321,0.06762,0.00457,5.71417,0.33969,-0.57903,0.10416,0.37697,0.06639,0.05469,0.04411,0.00195,5.48856,1.15024,0.80806,0.01221,0.196,HISTOGRM
3,504,multi-class,1.22,0,0.66117,0.67155,0.03362,0.00113,8.97541,-0.22962,-1.56206,0.60839,0.71824,1.08713,0.37897,0.37897,0.12632,0.14362,0.37897,0.33333,0.37897,0.37897,0.18321,0.2083,0.00074,0.00074,0.00074,0.65911,0.02183,0.02183,0.00195,0,1.57921,-999,-999,0.01944,0.02421,0.40456,0.47432,0.17088,0.0292,1.43821,-0.54433,-1.5,0.16931,0.57005,0.30034,0.3433,0.06588,0.00434,1.54797,-0.70083,-1.5,0.20726,0.35047,0.10441,0.13044,0.04236,0.00179,1.44793,-0.68976,-1.5,0.04467,0.13811,DIRICHLET
3,504,multi-class,1.22,0,0.66363,0.68787,0.03232,0.00104,8.97555,-0.49715,-1.75035,0.62227,0.68986,1.09402,0.37897,0.37897,0.12632,0.14362,0.37897,0.33333,0.37897,0.37897,0.18321,0.2083,0.00123,0.00123,0.00123,0.66354,0,0,0,0,0,-999,-999,0,0,0,0,0,0,0,-999,-999,0,0,0,0,0,0,0,-999,-999,0,0,0,0,0,0,0,-999,-999,0,0,MIXANDMATCH
