Dataset_name,Model_name,Calibration_metric,num_classes,num_instances,dataset_type,class_imbalance_ratio,actual_predictions_entropy,Confidence_Mean,Confidence_Median,Confidence_Std,Confidence_Var,Confidence_Entropy,Confidence_Skewness,Confidence_Kurtosis,Confidence_Min,Confidence_Max,Classification_Log_loss,Classification_Accuracy,Classification_Precision_Micro,Classification_Precision_Macro,Classification_Precision_Weighted,Classification_Recall_Micro,Classification_Recall_Macro,Classification_Recall_Weighted,Classification_F1_Micro,Classification_F1_Macro,Classification_F1_Weighted,ECE_before,MCE_before,ConfECE_before,brier_score_before,Wasserstein_Mean,Wasserstein_Median,Wasserstein_Std,Wasserstein_Var,Wasserstein_Entropy,Wasserstein_Skewness,Wasserstein_Kurtosis,Wasserstein_Min,Wasserstein_Max,KL_Divergence_Mean,KL_Divergence_Median,KL_Divergence_Std,KL_Divergence_Var,KL_Divergence_Entropy,KL_Divergence_Skewness,KL_Divergence_Kurtosis,KL_Divergence_Min,KL_Divergence_Max,Jensen_Shannon_Mean,Jensen_Shannon_Median,Jensen_Shannon_Std,Jensen_Shannon_Var,Jensen_Shannon_Entropy,Jensen_Shannon_Skewness,Jensen_Shannon_Kurtosis,Jensen_Shannon_Min,Jensen_Shannon_Max,Bhattacharyya_Mean,Bhattacharyya_Median,Bhattacharyya_Std,Bhattacharyya_Var,Bhattacharyya_Entropy,Bhattacharyya_Skewness,Bhattacharyya_Kurtosis,Bhattacharyya_Min,Bhattacharyya_Max,Best_Cal
AGNews,TINYBERT,ECE,4,25520,1,1.0,1.97897,0.14171,0.0248,0.26043,0.06782,13.046,2.05888,2.87507,0.02181,0.99724,0.30457,0.90349,0.90349,0.91892,0.91892,0.90349,0.90349,0.90349,0.90349,0.90528,0.90528,0.00337,0.01088,0.00337,0.14267,0.02043,0.02264,0.01187,0.00014,2.31035,-0.13898,-1.81311,0.00432,0.03202,2.30157,3.32172,1.50233,2.25699,2.14691,-0.70305,-1.50016,0.17451,3.40874,0.29018,0.29,0.04587,0.0021,2.56687,0.00143,-1.99409,0.24286,0.33862,0.13242,0.13201,0.04439,0.00197,2.50232,0.00157,-1.99666,0.08725,0.17889,MIXANDMATCH
AGNews,TINYBERT,MCE,4,25520,1,1.0,1.97897,0.14171,0.0248,0.26043,0.06782,13.046,2.05888,2.87507,0.02181,0.99724,0.30457,0.90349,0.90349,0.91892,0.91892,0.90349,0.90349,0.90349,0.90349,0.90528,0.90528,0.00337,0.01088,0.00337,0.14267,0.02043,0.02264,0.01187,0.00014,2.31035,-0.13898,-1.81311,0.00432,0.03202,2.30157,3.32172,1.50233,2.25699,2.14691,-0.70305,-1.50016,0.17451,3.40874,0.29018,0.29,0.04587,0.0021,2.56687,0.00143,-1.99409,0.24286,0.33862,0.13242,0.13201,0.04439,0.00197,2.50232,0.00157,-1.99666,0.08725,0.17889,MIXANDMATCH
AGNews,TINYBERT,ConfECE,4,25520,1,1.0,1.97897,0.14171,0.0248,0.26043,0.06782,13.046,2.05888,2.87507,0.02181,0.99724,0.30457,0.90349,0.90349,0.91892,0.91892,0.90349,0.90349,0.90349,0.90349,0.90528,0.90528,0.00337,0.01088,0.00337,0.14267,0.02043,0.02264,0.01187,0.00014,2.31035,-0.13898,-1.81311,0.00432,0.03202,2.30157,3.32172,1.50233,2.25699,2.14691,-0.70305,-1.50016,0.17451,3.40874,0.29018,0.29,0.04587,0.0021,2.56687,0.00143,-1.99409,0.24286,0.33862,0.13242,0.13201,0.04439,0.00197,2.50232,0.00157,-1.99666,0.08725,0.17889,MIXANDMATCH
AGNews,FASTTEXT,brier_score,4,25520,1,1.0,0.67518,0.74633,0.74319,0.0183,0.00033,14.63891,0.37233,0.99649,0.68574,0.84276,1.3744,0.27633,0.27633,0.26128,0.26128,0.27633,0.27633,0.27633,0.27633,0.17057,0.17057,0.00436,0.07904,0.00436,0.74423,0.00804,0.00822,0.00386,1e-05,2.39178,-0.26833,-1.08797,0.0017,0.01315,2.44746,3.49966,1.73241,3.00123,2.01101,-0.67425,-1.49973,0.00489,3.97191,0.49872,0.71184,0.3182,0.10125,2.17324,-0.70566,-1.49355,0.03437,0.74115,0.70988,0.9912,0.5047,0.25472,2.00782,-0.64959,-1.49921,0.00118,1.1787,DIRICHLET
AGNews,TINYBERT,brier_score,4,25520,1,1.0,1.99975,0.10094,0.02058,0.21548,0.04643,12.81225,2.87158,7.39406,0.00118,1.0,0.20884,0.93229,0.93229,0.93258,0.93258,0.93229,0.93229,0.93229,0.93229,0.93235,0.93235,0.00671,0.28862,0.00671,0.10498,0.0135,0.01327,0.00623,4e-05,2.41964,-0.0228,-1.34641,0.0044,0.02179,0.04329,0.03223,0.0275,0.00076,2.27353,0.33844,-1.33218,0.00597,0.08243,0.1027,0.09211,0.04197,0.00176,2.45891,0.10067,-1.20598,0.03934,0.15918,0.01316,0.00874,0.00984,0.0001,2.17216,0.51744,-1.42634,0.00156,0.02758,MIXANDMATCH
AGNews,FASTTEXT,log_loss,4,25520,1,1.0,0.67518,0.74633,0.74319,0.0183,0.00033,14.63891,0.37233,0.99649,0.68574,0.84276,1.3744,0.27633,0.27633,0.26128,0.26128,0.27633,0.27633,0.27633,0.27633,0.17057,0.17057,0.00436,0.07904,0.00436,0.74423,0.00804,0.00822,0.00386,1e-05,2.39178,-0.26833,-1.08797,0.0017,0.01315,2.44746,3.49966,1.73241,3.00123,2.01101,-0.67425,-1.49973,0.00489,3.97191,0.49872,0.71184,0.3182,0.10125,2.17324,-0.70566,-1.49355,0.03437,0.74115,0.70988,0.9912,0.5047,0.25472,2.00782,-0.64959,-1.49921,0.00118,1.1787,DIRICHLET
AGNews,TINYBERT,log_loss,4,25520,1,1.0,1.99975,0.10094,0.02058,0.21548,0.04643,12.81225,2.87158,7.39406,0.00118,1.0,0.20884,0.93229,0.93229,0.93258,0.93258,0.93229,0.93229,0.93229,0.93229,0.93235,0.93235,0.00671,0.28862,0.00671,0.10498,0.0135,0.01327,0.00623,4e-05,2.41964,-0.0228,-1.34641,0.0044,0.02179,0.04329,0.03223,0.0275,0.00076,2.27353,0.33844,-1.33218,0.00597,0.08243,0.1027,0.09211,0.04197,0.00176,2.45891,0.10067,-1.20598,0.03934,0.15918,0.01316,0.00874,0.00984,0.0001,2.17216,0.51744,-1.42634,0.00156,0.02758,MIXANDMATCH
ASP-POTASSCO-classification,ADABOOST,ECE,11,259,1,13.0,0.0,0.87687,0.88718,0.05882,0.00346,8.01355,-0.18878,-1.60589,0.80101,0.98187,2.22625,0.20077,0.20077,0.01825,0.04031,0.20077,0.09091,0.20077,0.20077,0.0304,0.06714,0.00199,0.00199,0.0,0.8764,0.02874,0.02703,0.01252,0.00016,5.64073,0.31519,-0.81303,0.00618,0.05483,0.56127,0.4555,0.34036,0.11585,5.52248,0.91208,0.32675,0.03972,1.45913,0.34142,0.33386,0.09835,0.00967,5.71769,-0.1283,-0.04689,0.09909,0.56122,0.15016,0.12574,0.09114,0.00831,5.52351,1.02794,1.01765,0.00991,0.44413,DIRICHLET
ASP-POTASSCO-classification,DECISION_TREE,ECE,11,259,1,13.0,0.0,0.87713,0.88417,0.05766,0.00332,8.01368,-0.15716,-1.58316,0.80309,0.98456,2.22637,0.20077,0.20077,0.01825,0.04031,0.20077,0.09091,0.20077,0.20077,0.0304,0.06714,0.00386,0.00386,0.0,0.87646,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,0.0,0.0,7.53573,0.0,10.80414,116.72938,4.16993,0.73624,-1.45796,0.0,23.02585,0.27247,0.0,0.39065,0.15261,4.16993,0.73624,-1.45796,0.0,0.83255,7.53573,0.0,10.80414,116.72938,4.16993,0.73624,-1.45796,-0.0,23.02585,MIXANDMATCH
ASP-POTASSCO-classification,GRADIENT_BOOSTING,ECE,11,259,1,13.0,2.7011,0.76937,0.84361,0.20105,0.04042,7.96103,-0.96262,-0.14065,0.27115,1.0,2.92438,0.37452,0.37452,0.27515,0.34632,0.37452,0.25436,0.37452,0.37452,0.24308,0.3407,0.0877,0.29709,0.08838,0.76735,0.04013,0.03475,0.01678,0.00028,5.65343,0.33007,-0.90816,0.01313,0.07722,0.49054,0.43783,0.33942,0.1152,5.45329,0.99678,0.36419,0.07617,1.39546,0.24158,0.22947,0.07275,0.00529,5.71791,0.63261,-0.39461,0.13518,0.41861,0.07258,0.05962,0.04813,0.00232,5.50481,1.44397,1.80072,0.01863,0.22661,HISTOGRM
