Dataset,Model,Split,Recall@N:5,MRR,Accuracy,F1_micro,F1_macro,F1_weighted,Recall_micro,Recall_macro,Recall_weighted,Precision_micro,Precision_macro,Precision_weighted
ECE,AdaBoost,Train,0.9886,0.763,0.6084,0.6084,0.3693,0.5575,0.6084,0.3615,0.6084,0.6084,0.6581,0.6501
ECE,AdaBoost,Test,0.9592,0.6983,0.5204,0.5204,0.2967,0.4853,0.5204,0.3028,0.5204,0.5204,0.2975,0.4644
MCE,AdaBoost,Train,0.9908,0.7804,0.6316,0.6316,0.4022,0.6,0.6316,0.3818,0.6316,0.6316,0.532,0.6471
MCE,AdaBoost,Test,0.9485,0.6784,0.5258,0.5258,0.2999,0.4669,0.5258,0.2908,0.5258,0.5258,0.4252,0.547
ConfECE,AdaBoost,Train,0.9956,0.7635,0.5985,0.5985,0.406,0.5592,0.5985,0.3821,0.5985,0.5985,0.6474,0.6187
ConfECE,AdaBoost,Test,0.8933,0.6007,0.4267,0.4267,0.2727,0.3795,0.4267,0.2782,0.4267,0.4267,0.2952,0.3802
brier_score,AdaBoost,Train,0.9784,0.6951,0.5075,0.5075,0.3083,0.4579,0.5075,0.2896,0.5075,0.5075,0.5356,0.5548
brier_score,AdaBoost,Test,0.8462,0.5244,0.3173,0.3173,0.1646,0.2569,0.3173,0.1759,0.3173,0.3173,0.2134,0.2835
log_loss,AdaBoost,Train,0.9821,0.6826,0.4837,0.4837,0.3138,0.4519,0.4837,0.3083,0.4837,0.4837,0.4956,0.5167
log_loss,AdaBoost,Test,0.8585,0.552,0.3491,0.3491,0.2474,0.3156,0.3491,0.2599,0.3491,0.3491,0.3076,0.3433
